                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1798,                 2.1057,                  1.305,                0.64111,                 0.5801,                0.56069,                0.30453,                 1.3818,                 1.6135,                 1.3685,             0.00040759,             0.00040759,             0.00040759
                      2,                 1.2614,                 1.7855,                  1.363,                0.56558,                0.56616,                0.56973,                 0.2726,                 1.4466,                 2.0299,                 1.5381,             0.00081297,             0.00081297,             0.00081297
                      3,                 1.3286,                 1.7925,                 1.3822,                0.64312,                0.54416,                0.56385,                0.29345,                 1.5751,                 1.6909,                 1.4671,              0.0012138,              0.0012138,              0.0012138
                      4,                  1.295,                 1.6815,                 1.3441,                0.68195,                0.55675,                0.61948,                0.34299,                 1.5467,                 1.6365,                 1.4623,              0.0016102,              0.0016102,              0.0016102
                      5,                 1.2783,                 1.6258,                 1.3402,                0.71668,                0.61941,                0.70385,                0.39869,                 1.3283,                 1.4297,                 1.3796,              0.0016302,              0.0016302,              0.0016302
                      6,                  1.185,                 1.5393,                 1.2912,                0.73768,                0.61413,                0.72459,                0.40774,                 1.3242,                 1.2695,                 1.3554,              0.0016302,              0.0016302,              0.0016302
                      7,                 1.1449,                  1.524,                 1.2618,                0.80071,                0.66269,                0.75861,                 0.4598,                 1.2685,                 1.2316,                 1.2876,              0.0016211,              0.0016211,              0.0016211
                      8,                 1.1562,                 1.4831,                 1.2653,                0.77792,                0.72423,                0.77941,                  0.461,                 1.2604,                 1.2502,                 1.3094,              0.0016119,              0.0016119,              0.0016119
                      9,                 1.1259,                 1.4261,                  1.263,                0.82724,                0.70482,                0.80296,                0.46963,                 1.2452,                 1.1387,                  1.252,              0.0016027,              0.0016027,              0.0016027
                     10,                 1.0826,                 1.4067,                 1.2272,                0.83285,                 0.7099,                0.81205,                 0.4966,                 1.1722,                 1.0787,                 1.2285,              0.0015935,              0.0015935,              0.0015935
                     11,                 1.0841,                 1.4119,                 1.2295,                 0.8021,                0.68815,                0.78719,                0.49837,                 1.1986,                 1.0858,                 1.2414,              0.0015843,              0.0015843,              0.0015843
                     12,                 1.0742,                 1.3882,                 1.2093,                0.80992,                0.77175,                0.81676,                0.52048,                 1.1816,                 1.0152,                  1.189,              0.0015751,              0.0015751,              0.0015751
