fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.6386,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.59453,0.01081,0.0094,0.95973,0.00053,2.90731,0.79605,7.59668,0.5,1.5,0.01226,0.73535,0.4,0.0,0.08796,0.42886,0.0,0.0,0.0,0.55749,0.76808,0.0,0.0
0.64094,0.00992,0.00984,0.93682,0.00049,2.98398,0.80633,7.42612,0.49117,1.51008,0.01528,0.69841,0.40305,0.0,0.1,0.5,0.0,0.0,0.0,0.49424,0.98846,0.0,0.0
0.63783,0.00945,0.00993,0.93682,0.00043,3.04163,0.76501,5.61824,0.68,1.05372,0.01191,0.72434,0.435,0.0,0.10208,0.52296,0.0,0.0,0.0,0.58148,0.98846,0.0,0.0
0.6093,0.0114,0.01,0.96533,0.00041,2.33007,0.78307,8.32617,0.52691,1.39812,0.0154,0.78711,0.4,0.0,0.09037,0.54358,0.0,0.0,0.0,0.51887,1.0,0.0,0.0
0.64357,0.00858,0.00789,0.95688,0.00059,4.0684,0.95,7.5,0.49114,1.36702,0.015,0.87925,0.39283,0.0,0.1054,0.46501,0.0,0.0,0.0,0.52369,1.0,0.0,0.0
0.6364,0.00858,0.00786,0.95241,0.00058,4.0684,0.89514,7.56573,0.48916,1.36702,0.01456,0.89527,0.39295,0.0,0.10475,0.46501,0.0,0.0,0.0,0.52369,1.0,0.0,0.0
0.63196,0.00993,0.00985,0.93679,0.00049,2.98398,0.80596,7.42437,0.49098,1.51008,0.01527,0.69887,0.40283,0.0,0.09995,0.50031,0.0,0.0,0.0,0.49424,0.99011,0.0,0.0
0.62337,0.00897,0.00789,0.9784,0.00057,4.1698,0.95,7.98718,0.48336,1.48597,0.01427,0.85519,0.38397,0.0,0.12136,0.47066,0.0,0.0,0.0,0.4918,1.0,0.0,0.0
0.64054,0.00858,0.00742,0.96798,0.00057,4.5229,0.95,7.42991,0.52429,1.41331,0.01434,0.9,0.37843,0.0,0.1054,0.49476,0.0,0.0,0.0,0.54375,1.0,0.0,0.0
